id,address_type,status,entity,street_number_name,apartment_number,city,state_province,zip_code,country,notes,created_at,updated_at
1,Shipping,Active,Customer,1769 Daystar Way,,Seattle,Washington,98140,United States,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,2016-11-18 23:27:03,2018-03-28 18:31:07
2,Business,Active,Building,383 Debra Court,,Tucson,Arizona,85743,United States,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,2016-09-30 01:31:09,2019-01-21 23:47:54
3,Billing,Active,Customer,371 Bayside Court,,Corpus Christi,Texas,78415,United States,Donec posuere metus vitae ipsum.,2017-03-04 06:17:39,2017-10-29 05:14:44
4,Home,Active,Building,879 Graceland Circle,,Mobile,Alabama,36622,United States,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",2017-03-19 19:15:20,2017-08-14 21:44:17
5,Billing,Active,Customer,8049 Kingsford Court,,Kansas City,Missouri,64114,United States,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",2016-06-03 23:37:56,2018-10-05 17:26:35
6,Business,Active,Building,3997 Carberry Point,,Houston,Texas,77206,United States,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2017-02-26 04:58:38,2018-02-03 02:45:40
7,Billing,Active,Customer,447 Sugar Avenue,9,Fort Wayne,Indiana,46896,United States,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2017-03-17 01:24:38,2018-05-27 00:43:55
8,Shipping,Active,Building,4 Nevada Parkway,,Knoxville,Tennessee,37931,United States,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,2017-05-05 11:22:13,2019-01-19 00:14:57
9,Billing,Active,Customer,505 Dryden Alley,,Alexandria,Virginia,22333,United States,"Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",2016-12-13 23:41:32,2018-08-24 13:09:25
10,Shipping,Active,Building,651 Autumn Leaf Way,,Pensacola,Florida,32505,United States,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",2016-08-07 11:03:38,2017-09-22 13:15:39
11,Billing,Active,Customer,19 Carioca Pass,,Long Beach,California,90810,United States,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2016-08-03 06:47:43,2018-01-03 06:25:34
12,Shipping,Active,Building,756 Debs Road,,Baton Rouge,Louisiana,70826,United States,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,2017-04-18 05:49:01,2018-06-13 10:27:51
13,Business,Active,Customer,9 Amoth Avenue,,Boulder,Colorado,80305,United States,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",2017-03-05 11:30:07,2018-11-10 05:06:14
14,Home,Active,Building,09 Moulton Park,,New Orleans,Louisiana,70160,United States,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,2016-04-01 12:05:05,2018-01-22 00:18:39
15,Business,Active,Customer,2049 Maryland Plaza,11,Chicago,Illinois,60657,United States,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2016-08-23 01:43:08,2017-07-15 19:17:23
16,Billing,Active,Building,9785 Parkside Drive,,Omaha,Nebraska,68134,United States,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",2017-01-24 15:03:06,2018-11-25 01:55:59
17,Billing,Active,Customer,00136 Algoma Park,,Portland,Oregon,97271,United States,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.",2016-11-12 05:55:11,2018-12-02 11:09:11
18,Home,Active,Building,9 Johnson Circle,14,Charlotte,North Carolina,28272,United States,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",2017-05-26 16:31:55,2019-01-21 14:47:45
19,Business,Active,Customer,0328 Jana Terrace,2,Tuscaloosa,Alabama,35405,United States,Maecenas pulvinar lobortis est.,2016-09-10 20:19:01,2018-10-18 19:23:23
20,Home,Active,Building,8819 Lotheville Park,,Prescott,Arizona,86305,United States,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",2017-02-15 15:32:27,2019-01-22 15:06:15
21,Business,Active,Customer,3940 Ridgeway Junction,,Reno,Nevada,89510,United States,"Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2016-08-24 10:53:39,2017-12-19 13:31:57
22,Shipping,Active,Building,73496 Maryland Road,,Mobile,Alabama,36622,United States,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.",2016-11-26 23:46:51,2017-10-16 16:55:38
