id,customer_id,building_detail_id,address_id,building_administrator_full_name,building_administrator_email,building_administrator_phone,building_technical_contact_name,building_technical_contact_email,building_technical_contact_phone,created_at,updated_at
1,1,1,2,Shaina Claibourn,dplenderleith0@china.com.cn,766-829-0543,Darryl Plenderleith,dplenderleith0@hc360.com,759-138-9539,2016-04-24 02:42:41,2018-02-16 19:18:56
2,2,2,4,Douglas Worts,sbourgaize1@cbsnews.com,831-973-8280,Silvan Bourgaize,sbourgaize1@smugmug.com,506-334-5854,2016-06-24 10:58:50,2017-10-31 07:58:30
3,3,3,6,Timmy Woolrich,mfitzackerley2@cam.ac.uk,785-122-5643,Mariejeanne Fitzackerley,mfitzackerley2@weibo.com,142-117-4368,2016-05-07 19:51:58,2018-03-07 13:10:56
4,4,4,8,Gaston Readett,lborchardt3@google.de,769-854-2094,Lurette Borchardt,lborchardt3@pen.io,737-439-8951,2017-04-14 15:05:32,2018-03-28 13:21:09
5,5,5,10,Trix Hanson,fstonard4@live.com,809-879-3412,Frannie Stonard,fstonard4@sciencedirect.com,916-578-1545,2016-12-04 03:16:11,2018-05-29 20:37:10
6,6,6,12,Natasha Pancoast,lricciardiello5@cocolog-nifty.com,536-664-0249,Lenka Ricciardiello,lricciardiello5@elegantthemes.com,224-113-5240,2016-06-27 13:50:19,2018-09-03 03:58:04
7,7,7,14,Jule Winscum,lskipper6@hugedomains.com,660-226-7486,Lisabeth Skipper,lskipper6@google.com,880-397-8399,2016-06-18 23:42:31,2017-06-19 09:49:23
8,8,8,16,Saul Girhard,yhastler7@smh.com.au,116-766-7172,Yehudit Hastler,yhastler7@t-online.de,851-366-8446,2016-06-15 22:16:40,2017-11-16 03:52:31
9,9,9,18,Fernandina Venturoli,nantoszczyk8@privacy.gov.au,960-541-4030,Nedda Antoszczyk,nantoszczyk8@businessinsider.com,163-897-3058,2016-09-04 14:03:48,2018-12-29 03:57:18
10,10,10,20,Raymond De Biaggi,ajaquemar9@wired.com,516-866-1728,Arlyn Jaquemar,ajaquemar9@discuz.net,933-590-7176,2016-07-20 06:14:12,2018-01-23 05:49:50
11,11,11,22,Leonard Botcherby,aisgara@yelp.com,502-971-3937,Allard Isgar,aisgara@java.com,431-280-6206,2016-10-15 15:00:19,2018-05-08 09:12:56
12,12,12,24,Angelique Soltan,aewenceb@reuters.com,846-466-9363,Alric Ewence,aewenceb@artisteer.com,210-382-8594,2016-08-18 03:04:34,2017-11-19 16:33:43
