id,full_name,phone,email,SIN,insurer,insurance_type,vacancy_days_left,YTD_hour,YTD,created_at,updated_at
1,Philippe Bouillon, 418-455-3243,philippe.bouillon@codeboxx.biz,459027311,Allianz,Family,9,1120,50400$,5/1/2003,9/22/2018
2,Felix-Antoine Paradis,418-338-9444,felix-antoine.paradis@codeboxx.biz,997421042,Allianz,Personal, 28,1332,53280$,1/6/2005,9/22/2018
3,Remi Gagnon,581-9462111,remi.gagnon@codeboxx.biz,998613602,Allianz,Personal,12,1121,42598$,5/11/2002,9/22/2018
4,Mathieu LeFrançois,418-646-2324,mathieu.lefrancois@codeboxx.biz,678204832,Allianz,Family,9,1124,42712$,3/10/2007,9/22/2018
5,Mathieu Houde,418-824-3331,mathieu.houde@codeboxx.biz,118390546,Allianz,Family,18,1635,65400$,10/6/2004,9/22/2018
6,Serge Savoie,418-635-2711,serge.savoie@codeboxx.biz,288473042,Allianz,Family,13,1614,67788$,5/4/2015,9/22/2018
7,Nadya Fortier,418-853-8989,nadya.fortier@codeboxx.biz,193402263,Allianz,Family,16,1670,83500$,3/3/2000,9/22/2018
8,Clary Ledson,821-870-6651,cledson0@photobucket.com,109836194,Allianz,Personal,4,1547,46410$,2016-12-05 17:41:58,2018-01-06 12:51:44
9,Lee Mc Pake,580-147-7149,lmc1@about.me,259276411,Allianz,Family,13,1937,58110$,2016-06-01 16:24:35,2018-12-09 06:54:35
10,Britte Greeson,718-473-1622,bgreeson2@imgur.com,39671253,Allianz,Personal,8,1816,54480$,2016-09-11 21:52:23,2019-02-11 14:11:30
11,Jonathan Pagani,955-195-2160,itedahl3@yandex.ru,468922516,Allianz,Family,3,1847,55410$,2016-11-13 03:05:32,2018-05-08 02:43:28
12,Bryana Shapland,800-960-8327,bshapland4@bbb.org,527442139,Allianz,Personal,4,1777,53310$,2016-12-18 15:24:50,2018-05-19 22:44:59
13,Michelina Easthope,327-755-0595,measthope5@flickr.com,690053786,Allianz,Family,5,1674,50220$,2016-08-10 12:49:33,2018-02-24 08:03:37
14,Simon Fortier,665-683-8018,getoverhere@konami.com,769844327,Allianz,Personal,4,1937,58110$,2016-11-24 19:04:49,2017-10-15 12:25:57
15,Tomlin Paradyce,864-394-5547,tparadyce7@webeden.co.uk,810064538,Allianz,Family,3,1757,52710$,2016-07-14 11:33:01,2017-09-16 03:08:54
16,Juliette Blinman,877-424-6210,jblinman8@booking.com,994533861,Allianz,Personal,4,1821,54630$,2016-07-07 14:44:51,2017-12-24 13:37:35
17,Nomi Rapkins,552-799-4259,nrapkins9@paginegialle.it,103478328,Allianz,Family,17,1611,48330$,2016-07-21 15:55:27,2019-01-22 08:25:38
18,Samuel Asselin,222-879-2805,samass@britney.com,195673498,Allianz,Personal,8,1821,54630$,2017-02-26 19:55:52,2018-04-11 18:21:48
19,Alta Hardcastle,884-858-0163,ahardcastleb@wsj.com,157765947,Allianz,Family,15,1738,52140$,2016-08-13 17:43:03,2017-06-18 14:15:03
20,Eben Holcroft,201-223-4889,eholcroftc@zimbio.com,189674671,Allianz,Personal,21,1637,49110$,2016-09-04 04:55:48,2018-03-19 17:56:12
21,Woody Buzz,946-828-9426,woodyandbuzz3@forever.com,189452119,Allianz,Family,3,1644,49320$,2016-10-08 14:37:00,2018-03-26 20:32:27
22,Gabriel Chevanel,698-483-9661,chevy.chialar@deliciousdays.com,178543650,Allianz,Personal,4,1731,51930$,2016-09-24 23:46:38,2018-08-06 13:30:32
23,Maddie Canning,281-721-3422,mcanningf@bizjournals.com,166743214,Allianz,Family,3,1933,57990$,2016-07-23 18:07:25,2017-08-30 11:44:44
24,Alfonse Nafziger,805-605-7026,anafzigerg@reference.com,109127451,Allianz,Personal,4,1680,50400$,2017-06-06 03:31:25,2017-12-17 21:53:42
25,Hilarius Leacock,264-212-2684,hleacockh@slideshare.net,190956739,Allianz,Family,3,1814,54420$,2017-05-04 19:19:42,2018-12-19 23:00:41
26,Sile Rack,487-994-3976,sracki@desdev.cn,167334294,Allianz,Personal,1,1754,52620$,2017-05-14 03:23:00,2018-06-08 01:14:52
27,Colet Siburn,214-524-3568,csiburnj@godaddy.com,294432685,Allianz,Family,21,1951,58530$,2016-05-15 03:01:10,2018-10-11 06:15:53
28,Melina Bohling,738-559-2983,mbohlingk@goodreads.com,290675383,Allianz,Personal,3,1719,51570$,2017-06-04 10:16:14,2018-11-27 12:39:20
29,Luciana Bordone,149-602-4078,lbordonel@irs.gov,247855645,Allianz,Family,21,1781,53430$,2016-11-24 13:05:22,2017-07-04 13:26:30
30,Benson Patry,992-509-4683,benson@wakanda.gov,387342118,Allianz,Personal,4,46860$,2016-12-04 20:21:42,2017-10-20 01:44:07
31,Hollis Guidotti,925-460-5441,hguidottin@cargocollective.com,905443744,Allianz,Family,2,1857,55710$,2017-02-13 04:42:36,2018-12-12 00:43:57
